コマンド,コマンド用数字,台詞主,台詞主２,台詞,台詞口パクタイプ,台詞口パクタイプ・ＩＤ（非表示）,キャラ左,ポーズ,服装INDIRECT用列（非表示）,服装,感情INDIRECT用列（非表示）,感情,キャラ左・ＩＤ（非表示）,特殊表情,特殊表情・ＩＤ（非表示）,キャラ中央,ポーズ,服装INDIRECT用列（非表示）,服装,感情INDIRECT用列（非表示）,感情,キャラ中央・ＩＤ（非表示）,特殊表情,特殊表情・ＩＤ（非表示）,キャラ右,ポーズ,服装INDIRECT用列（非表示）,服装,感情INDIRECT用列（非表示）,感情,キャラ右・ＩＤ（非表示）,特殊表情,特殊表情・ＩＤ（非表示）,キャラ変更タイプ,キャラ変更タイプ・ＩＤ（非表示）,キャラ間距離均一化,キャラ間距離均一化・ＩＤ（非表示）,背景,背景・ＩＤ（非表示）,背景変更タイプ,背景変更タイプ・ＩＤ（非表示）,ＢＧＭ,ＢＧＭ・ＩＤ（非表示）,ＢＧＭ特殊切り替え,ＢＧＭ特殊切り替えタイプ・ＩＤ（非表示）,ＳＥ,ＳＥ・ＩＤ（非表示）,選択肢１,選択肢１ジャンプ先,選択肢２,選択肢２ジャンプ先,選択肢３,選択肢３ジャンプ先
,0,千雪,,これは私のひとつめのコミュです。,,0,,,服装・,,感情・,,0,,0,千雪,通常,服装・千雪,通常,感情・千雪,通常,5001,,0,,,服装・,,感情・,,0,,0,瞬時表示・入れ替え,1,,0,校門前,4,,0,千雪BGM,22,,0,,0,,0,,0,,0
,0,千雪,,ちゃんと最初に選ばれていますでしょうか？,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
end,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
end,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
end,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,0,,,,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,,服装・,,感情・,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
